model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1700_FAIR_ALL.csv,9000,4,8712,288,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1800_BIASED_ALL.csv,9000,4,8713,287,0.0649,0.9338,0.0606,0.9164,0.9813
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1800_FAIR_ALL.csv,9000,4,8735,265,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1900_BIASED_ALL.csv,9000,4,8673,327,0.0027,0.9973,0.0064,0.9908,0.9935
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1900_FAIR_ALL.csv,9000,4,301,8699,0.0124,1.0125,0.0124,0.9991,0.9867
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed2000_BIASED_ALL.csv,9000,4,8700,300,0.0013,1.0013,0.0017,0.9967,0.9954
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed2000_FAIR_ALL.csv,9000,4,8708,292,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed200_BIASED_ALL.csv,9000,4,305,8695,0.0239,0.9757,0.0176,0.9597,0.9836
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed200_FAIR_ALL.csv,9000,4,8707,293,0.0271,0.9729,0.0272,0.9727,0.9998
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed300_BIASED_ALL.csv,9000,4,265,8735,0.1753,1.2191,0.173,0.9753,0.8
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed300_FAIR_ALL.csv,9000,4,8740,260,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed400_BIASED_ALL.csv,9000,4,288,8712,0.0051,0.9948,0.0026,0.9914,0.9965
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed400_FAIR_ALL.csv,9000,4,4000,5000,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed500_BIASED_ALL.csv,9000,4,4615,4385,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed500_FAIR_ALL.csv,9000,4,220,8780,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed600_BIASED_ALL.csv,9000,4,4435,4565,0.0009,0.9991,0.0018,0.9987,0.9995
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed600_FAIR_ALL.csv,9000,4,8723,277,0.0143,1.0146,0.0111,0.9928,0.9784
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed700_BIASED_ALL.csv,9000,4,8731,269,0.0188,0.9812,0.02,0.9777,0.9964
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed700_FAIR_ALL.csv,9000,4,8737,263,0.0001,1.0001,0.0001,1.0,0.9999
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed800_BIASED_ALL.csv,9000,4,8712,288,0.0021,1.0021,0.0012,1.0,0.9979
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed800_FAIR_ALL.csv,9000,4,8706,294,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed900_BIASED_ALL.csv,9000,4,8719,281,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed900_FAIR_ALL.csv,9000,4,8736,264,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1000_BIASED_ALL.csv,9000,4,1637,7363,0.0873,0.4438,0.0909,0.0697,0.157
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1000_FAIR_ALL.csv,9000,4,7579,1421,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed100_BIASED_ALL.csv,9000,4,1813,7187,0.0877,0.9123,0.0136,0.9123,1.0
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed100_FAIR_ALL.csv,9000,4,1653,7347,0.0017,1.0017,0.0017,0.9999,0.9982
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1100_BIASED_ALL.csv,9000,4,7203,1797,0.0526,3.0833,0.0694,0.0779,0.0253
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1100_FAIR_ALL.csv,9000,4,7557,1443,0.0044,0.9956,0.0055,0.991,0.9954
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1200_BIASED_ALL.csv,9000,4,7278,1722,0.0545,0.3976,0.0166,0.036,0.0905
SRCVAE,HR_N10000_MedBias_Thresh1.0_Seed1200_FAIR_ALL.csv,9000,4,7419,1581,0.0,1.0,0.0,1.0,1.0
